id	title	question	answer	response_question	response_answer	statement
56cef595aab44d1400b88d21	New_York_City	In what geographical region of the United States is New York City located?	Northeastern	in what geographical region of the United States is New York City located?	Northeastern	New York City is located in the Northeaster -n region of the United States
56cef595aab44d1400b88d22	New_York_City	In what geographical region of New York state is New York City located?	southeastern	in what geographical region of New York state is New York City located?	southeastern	New York City is located in the southeastern geographical region of New York state
56cef595aab44d1400b88d23	New_York_City	New York City is about half the distance between Washington DC and what city?	Boston	New York City is about half the distance between washington dc and what city?	boston	the New York City is about half the distance between washington dc and boston
56cef595aab44d1400b88d24	New_York_City	New York City is adjacent to what ocean?	Atlantic	New York City is adjacent to what ocean?	the Atlantic	New York City is adjacent to the atlantic
56cef595aab44d1400b88d25	New_York_City	What river is New York City located on?	Hudson River	what river is New York City located on?	the Hudson River	New York City is located on the Hudson River
56cfde76234ae51400d9bfb1	New_York_City	New York City is at the base of which American river?	Hudson	New York City is at the base of which American river?	the Hudson	New York City is at the base of the Hudson river
56cfde76234ae51400d9bfb2	New_York_City	The Hudson River flows into which body of water?	Atlantic Ocean	the Hudson River flows into which body of water?	the Atlantic Ocean	the Hudson River flows into the atlantic ocean
56cfde76234ae51400d9bfb3	New_York_City	The three islands that make up New York city are named what?	Long Island, Manhattan, and Staten Island.	the three islands that make up New York city are named what?	long Island, Manhattan, and Staten Island	the three islands that make up New York city are named long Island, Manhattan, and Staten Island
56cef613aab44d1400b88d2b	New_York_City	The Hudson River serves as a dividing line between New York and what state?	New Jersey	the Hudson River serves as a dividing line between New York and what state?	New Jersey	the Hudson River serves as a dividing line between New York and New Jersey
56cef613aab44d1400b88d2c	New_York_City	What river flows between the Hudson and East Rivers?	Harlem River	what river flows between the Hudson and East Rivers?	the Harlem River	the Harlem River flows between the Hudson and East Rivers
56cef613aab44d1400b88d2d	New_York_City	What is the city's sole fresh water river?	Bronx River	what is the city's sole fresh water river?	the Bronx River	the city’s sole fresh water river is the Bronx River
56cef613aab44d1400b88d2e	New_York_City	Into what body of water does the Hudson River terminate?	New York Bay	into what body of water does the hudson river terminate?	new york bay	the hudson river terminates into new york bay
56cef613aab44d1400b88d2f	New_York_City	Between New York City and what city is the Hudson River an estuary?	Troy, New York	Between New York City and what city is the Hudson River an estuary?	Troy, New York	the Hudson River is an estuary between New York City and Troy, New York
56cfdef3234ae51400d9bfc1	New_York_City	The Hudson River separates NYC from which US state?	New Jersey	the Hudson River separates NYC from which US state?	new jersey	the Hudson River separates new jersey from the United States
56cfdef3234ae51400d9bfc3	New_York_City	Which river seperates The Bronx from Manhatten?	The Harlem River	which river seperates The Bronx from Manhatten?	the Harlem River	the Harlem River seperates the Bronx from Manhatten
56cef671aab44d1400b88d3b	New_York_City	What Manhattan development is the product of land reclamation?	Battery Park City	What Manhattan development is the product of land reclamation?	Battery Park City	Battery Park City is the product of land reclamation
56cef84faab44d1400b88d53	New_York_City	What is the total area of New York City in square miles?	468.9	what is the total area of New York City in square miles?	468.9	the total area of New York City is 468.9 square miles
56cef84faab44d1400b88d54	New_York_City	In square miles, how much of the city's total area is composed of water?	164.1	in square miles, how much of the city's total area is composed of water?	164.1	the city’s total area is composed of 164.1 square miles of water
56cef84faab44d1400b88d55	New_York_City	In square miles, how much of the city's total area is land?	304.8	in square miles, how much of the city's total area is land?	304.8	the city’s total area is 304.8 square miles
56cef84faab44d1400b88d56	New_York_City	What is the name of New York City's highest point?	Todt Hill	what is the name of New York City’s highest point?	todt Hill	New York City’s highest point is todt Hill
56cef84faab44d1400b88d57	New_York_City	On what island is New York City's highest point located?	Staten Island	on what island is New York City’s highest point located?	Staten Island	New York City’s highest point is located on Staten Island
56cfe133234ae51400d9bfdf	New_York_City	How many square miles in NYC?	468.9	how many square miles in nyc?	468.9	nyc has 468.9 square miles
56cfe133234ae51400d9bfe0	New_York_City	How many square miles are water in NYC?	164.1	how many square miles are water in nyc?	164.1	the water in nyc is 164.1 square miles
56cfe133234ae51400d9bfe1	New_York_City	How many square miles are land in NYC?	304.8	how many square miles are land in nyc?	304.8	the land in nyc is 304.8 square miles
56cfe133234ae51400d9bfe2	New_York_City	The highest peak in the city is what location?	Todt Hill	the highest peak in the city is what location?	todt Hill	the highest peak in the city is todt Hill
56cfe133234ae51400d9bfe3	New_York_City	How many feet above sea level is Todt Hil?	409.8	how many feet above sea level is todt hil?	409.8	todt hil is 409.8 feet above sea level
56cf1988aab44d1400b88d71	New_York_City	What structure is an example of saltbox architecture?	Pieter Claesen Wyckoff House	what structure is an example of saltbox architecture?	pieter claesen wyckoff house	the pieter claesen wyckoff house is an example of saltbox architecture
56cf1988aab44d1400b88d72	New_York_City	In what borough is the Pieter Claesen Wyckoff House located?	Brooklyn	in what borough is the Pieter Claesen Wyckoff House located?	Brooklyn	the Pieter Claesen Wyckoff House is located in Brooklyn
56cf1988aab44d1400b88d73	New_York_City	What building is the priciest office tower in the world?	One World Trade Center	what building is the priciest office tower in the world?	one World Trade Center	one World Trade Center is the priciest office tower in the world
56cf1988aab44d1400b88d74	New_York_City	In what borough is One World Trade Center located?	Manhattan	in what borough is one world trade center located?	manhattan	one world trade center is located in the borough of Manhattan
56cf1988aab44d1400b88d75	New_York_City	In what year did construction on the oldest part of Pieter Claesen Wyckoff House begin?	1656	in what year did construction on the oldest part of Pieter Claesen Wyckoff House begin?	1656	the oldest part of Pieter Claesen Wyckoff House began in 1656
56cfe15f234ae51400d9bfe9	New_York_City	The most expensive office tower built in the world today is what?	One World Trade Center	the most expensive office tower built in the world today is what?	one World Trade Center	the most expensive office tower built in the world today is one World Trade Center
56cf1a05aab44d1400b88d7b	New_York_City	How many high-rises were present in New York City in 2011?	5,937	how many high-rises were present in New York City in 2011?	5,937	there were 5,937 high-rises present in New York City in 2011
56cf1a05aab44d1400b88d7c	New_York_City	What city has the most high-rise buildings in the world?	Hong Kong	what city has the most high-rise buildings in the world?	hong kong	hong kong has the most high-rise buildings in the world
56cf1a05aab44d1400b88d7d	New_York_City	How many structures in New York City are over 100m tall?	550	how many structures in New York City are over 100m tall?	550	there are 550 structure -s in New York City that are over 100m tall
56cf1a05aab44d1400b88d7e	New_York_City	In what year was the Woolworth Building completed?	1913	in what year was the Woolworth Building completed?	1913	the Woolworth Building was completed in 1913
56cf1a05aab44d1400b88d7f	New_York_City	How many buildings in New York City are over 200m high?	50	how many buildings in New York City are over 200m high?	50	fifty buildings in New York City are over 200 meters high
56cfe1ae234ae51400d9bff3	New_York_City	NYC has the highest quantity of skyscrapers after which other world city?	Hong Kong	NYC has the highest quantity of skyscrapers after which other world city?	Hong Kong	NYC has the highest quantity of skyscrapers after the city of Hong Kong
56cfe1ae234ae51400d9bff4	New_York_City	How many buildings located in NYC are at least 330 feet in height?	550	how many buildings located in nyc are at least 330 feet in height?	550	there are 550 building -s located in nyc that are at least 330 feet in height
56cf1aa6aab44d1400b88d85	New_York_City	In what year was the Empire State Building completed?	1931	in what year was the Empire State Building completed?	1931	the Empire State Building was completed in 1931
56cf1aa6aab44d1400b88d86	New_York_City	The Chrysler Building reflects what architectural style?	Art Deco	the Chrysler Building reflects what architectural style?	art deco	the chrysler building reflects art deco
56cf1aa6aab44d1400b88d87	New_York_City	What floor of the Chrysler Building has sculptures of eagles at its corners?	61st	what floor of the Chrysler Building has sculptures of eagles at its corners?	61st	the 61st floor of the Chrysler Building has sculptures of eagles at its corners
56cf1aa6aab44d1400b88d88	New_York_City	What building known for its bronze-tinted I-beams was completed in 1957?	Seagram Building	what building known for its bronze-tinted I-beams was completed in 1957?	the Seagram Building	the Seagram Building was completed in 1957
56cf1aa6aab44d1400b88d89	New_York_City	What is the full name of the organization known by the acronym AIA?	American Institute of Architects	What is the full name of the organization known by the acronymaia?	American Institute of Architects	the American Institute of Architects is the full name of the organization
56cfe201234ae51400d9bffd	New_York_City	Which animal decorates the corners of the Chrysler Building?	eagles	which animal decorates the corners of the chrysler Building?	eagles	the chrysler Building is decorated with eagles
56cfe201234ae51400d9bffe	New_York_City	When was the Empire State Building constructed?	1931	when was the Empire State Building constructed?	1931	the Empire State Building was constructed in 1931
56cfe201234ae51400d9bfff	New_York_City	When was the Chrysler building built in NYC?	1930	when was the chrysler building built in nyc?	1930	the chrysler building was built in nyc in 1930
56cf1ba9aab44d1400b88d8f	New_York_City	In what borough is the Riverdale neighborhood located?	the Bronx	in what borough is the Riverdale neighborhood located?	the Bronx	the Riverdale neighborhood is located in the Bronx
56cf1ba9aab44d1400b88d90	New_York_City	In what borough is the Ditmas Park neighborhood located?	Brooklyn	in what borough is the Ditmas Park neighborhood located?	brooklyn	the Ditmas Park neighborhood is located in the borough of Brooklyn
56cf1ba9aab44d1400b88d91	New_York_City	In what borough is the Douglaston neighborhood located?	Queens	in what borough is the Douglaston neighborhood located?	queens	the Douglaston neighborhood is located in Queens
56cf1ba9aab44d1400b88d92	New_York_City	Brownstone rowhouse construction is most often associated with the period beginning in 1870 and ending in what year?	1930	brownstone rowhouse construction is most often associated with the period beginning in 1870 and ending in what year?	1930	brownstone rowhouse construction is most often associated with the period beginning in 1870
56cf1ba9aab44d1400b88d93	New_York_City	Along with Tudor Revival, what is a common architectural style of single-family houses in New York?	Victorian	along with Tudor Revival, what is a common architectural style of single-family houses in New York?	victorian	along with Tudor Revival, the common architectural style of single-family houses in New York is Victorian
56cfe293234ae51400d9c007	New_York_City	What type of housing structure makes up most of the large residential districts of NYC?	brownstone rowhouses	what type of housing structure makes up most of the large residential districts of nyc?	brownstone rowhouses	the brownstone rowhouses make up most of the large residential districts of nyc
56cf1c12aab44d1400b88d99	New_York_City	What event led to the decline in wooden construction in New York City?	the Great Fire of 1835	what event led to the decline in wooden construction in New York City?	the Great Fire of 1835	the Great Fire of 1835 led to the decline in wooden construction in New York City
56cf1c12aab44d1400b88d9a	New_York_City	In the 19th century, New York city required water towers in the roofs of buildings that were more than how many stories tall?	six	in what century did the city of new york require water tower -s in the roofs of building -s that were more than how many stories tall?	six	the city of new york required water tower -s in the roofs of building -s
56cf1c12aab44d1400b88d9b	New_York_City	What area was known for its garden apartments?	Jackson Heights	what area was known for its garden apartments?	jackson heights	jackson heights was known for its garden apartments
56cfe340234ae51400d9c009	New_York_City	After the Great Fire of 1835, what became the most widespread building materials?	Stone and brick	after the great fire of 1835, what became the most widespread building materials?	stone and brick	the most widespread building materials after the great fire of 1835 were stone and brick
56cfe340234ae51400d9c00a	New_York_City	To prevent high water pressures at lower elevations what were built on many of the city's buildings?	wooden roof-mounted water towers	to prevent high water pressures at lower elevations what were built on many of the city's buildings?	wooden roof-mounted water towers	wooden roof-mounted water towers were built on many of the city’s buildings
56cf1c53aab44d1400b88d9f	New_York_City	When did the United States Geological Survey released its seismic hazard analysis?	July 2014	when did the united states geological survey released its seismic hazard analysis?	July 2014	the united states geological survey released its seismic hazard analysis in July 2014
56cf1caaaab44d1400b88da1	New_York_City	How many of New York's boroughs would be counted among the United States' ten most populated cities if they were independent?	four	how many of New York's boroughs would be counted among the united states’ ten most populated cities if they were independent?	four	the four New York borough -s would be counted among the united states’ ten most populated cities if they were
56cf1caaaab44d1400b88da2	New_York_City	How many boroughs does New York City have?	five	How many boroughs does New York City have?	five	new york city has five borough -s
56cfe3ae234ae51400d9c00d	New_York_City	Which four boroughs of NYC would be among the the most populous cities in the US if they were independent cities?	Brooklyn, Queens, Manhattan, and the Bronx	which four borough -s of nyc would be among the the most populous cities in the us if they were independent cities?	brooklyn, queens, manhattan, and the bronx	the four borough -s of nyc would be among the the
56cf1d3baab44d1400b88da5	New_York_City	What is the name of New York City's climate using the Köppen climate classification?	humid subtropical	what is the name of New York City’s climate using the köppen climate classification?	humid subtropical	new york city’s climate is classified as humid subtropical
56cf1d3baab44d1400b88da6	New_York_City	How many sunny days does New York average each year?	234	how many sunny days does New York average each year?	234	new york averages 234 sunny days each year
56cf1d3baab44d1400b88da7	New_York_City	How many hours of sunshine does New York receive every year?	2,535	how many hours of sunshine does New York receive every year?	2,535	New York receives 2,535 hours of sunshine every year
56cf1d3baab44d1400b88da8	New_York_City	The suburbs of the city lie between the humid subtropical and what other climate zone?	humid continental	the suburbs of the city lie between the humid subtropical and what other climate zone?	humid continental	the suburbs of the city lie between the humid subtropical and the humid continental climate zone
56cf1d3baab44d1400b88da9	New_York_City	What month in New York City is the coldest?	January	what month in New York City is the coldest?	January	New York City’s coldest month is January
56cfe43c234ae51400d9c00f	New_York_City	What type of climate does NYC possess?	humid subtropical	what type of climate does nyc possess?	humid subtropical	nyc possesses a humid subtropical climate
56cfe43c234ae51400d9c010	New_York_City	How many days on average does NYC get sunshine annually?	234	how many days on average does nyc get sunshine annually?	234	nyc gets sunshine for an average of 234 days annually
56cfe43c234ae51400d9c011	New_York_City	What planting zone does the city land in?	USDA 7b	what planting zone does the city land in?	usda 7b	the city land -s in usda 7b
56cf2b33aab44d1400b88daf	New_York_City	What mountains serve as a barrier to keep New York City comparatively warmer in the winter?	Appalachians	what mountains serve as a barrier to keep New York City comparatively warmer in the winter?	the Appalachians	the Appalachians serve as a barrier to keep New York City comparatively warmer in the winter
56cf2b33aab44d1400b88db0	New_York_City	What is New York City's daily January mean temperature in degrees celsius?	0.3	what is New York City's daily January mean temperature in degrees celsius?	0.3	New York City’s daily January mean temperature is 0.3 degrees celsius
56cf2b33aab44d1400b88db1	New_York_City	What is the average humidity in July as a percentage?	72%	what is the average humidity in july as a percentage?	72%	the average humidity in july is 72 percent
56cf2b33aab44d1400b88db2	New_York_City	On average, how often do New York temperatures exceed 90 degrees Fahrenheit each year?	17	on average, how do New York temperatures exceed 90 degrees Fahrenheit each year?	17	new york temperatures exceed 90 degrees Fahrenheit each year approximately 17 times
56cf2b33aab44d1400b88db3	New_York_City	On what date did New York record its highest temperature ever?	July 9, 1936	on what date did New York record its highest temperature ever?	july 9, 1936	new york recorded its highest temperature ever on july 9, 1936
56cfe4b4234ae51400d9c01b	New_York_City	What is the highest temperature recorded in NYC?	106	what is the highest temperature recorded in nyc?	106	the highest temperature recorded in nyc is 106
56cfe4b4234ae51400d9c01c	New_York_City	When was the lowest temperature recorded in NYC?	1934	when was the lowest temperature recorded in nyc?	1934	the lowest temperature was recorded in nyc in 1934
56cfe4b4234ae51400d9c01d	New_York_City	The highest temperature ever recorded in NYC was in what year?	1936	the highest temperature ever recorded in nyc was in what year?	1936	the highest temperature ever recorded in nyc was in 1936
56cf2ba4aab44d1400b88db9	New_York_City	In millimeters, how much precipitation does New York receive a year?	1,270	in millimeters, how much precipitation does New York receive a year?	1,270	New York receives 1,270 millimeters of precipitation a year
56cf2ba4aab44d1400b88dba	New_York_City	In centimeters, what is the average winter snowfall?	66	in centimeters, what is the average winter snowfall?	66	the average winter snowfall is 66 centimeters
56cf2ba4aab44d1400b88dbb	New_York_City	When did Hurricane Sandy strike New York?	October 29, 2012	when did Hurricane Sandy strike New York?	october 29, 2012	hurricane sandy struck New York on october 29, 2012
56cfe53a234ae51400d9c023	New_York_City	How many inches of precipitation does NYC get in a year?	49.9	how many inches of precipitation does nyc get in a year?	49.9	nyc gets 49.9 inches of precipitation in a year
56cfe53a234ae51400d9c024	New_York_City	Which natural disaster occurred on October 29, 2012 in NYC?	Hurricane Sandy	which natural disaster occurred on october 29, 2012 in nyc?	hurricane sandy	hurricane sandy occurred in nyc on october 29, 2012
56cfe53a234ae51400d9c025	New_York_City	The mean snowfall between 1981 and 2010 in NYC has been how many inches?	25.8	the mean snowfall between 1981 and 2010 in nyc has been how many inches?	25.8	the mean snowfall between 1981 and 2010 in new york city has been
56cf2c09aab44d1400b88dbf	New_York_City	What is the name of the New York City department that operates the park system?	New York City Department of Parks and Recreation	what is the name of the New York City department that operates the park system?	New York City Department of Parks and Recreation	the New York City Department of Parks and Recreation operates the park system
56cf2c09aab44d1400b88dc0	New_York_City	What is the state office that operates New York City parks?	New York State Office of Parks, Recreation and Historic Preservation	what is the state office that operates New York City parks?	new york state office of parks, recreation and historic preservation	the new york state office of parks, recreation and historic preservation operates new york city parks
56cf2c09aab44d1400b88dc1	New_York_City	What federal service operates New York City parks?	National Park Service	what federal service operates New York City parks?	national park service	the national park service operates New York City parks
56cf2c48aab44d1400b88dc5	New_York_City	What city was rated as having the best park system by The Trust for Public Land?	Minneapolis	What city was rated as having the best park system by The Trust for Public Land?	Minneapolis	Minneapolis was rated as having the best park system by The Trust for Public Land
56cf2c48aab44d1400b88dc6	New_York_City	What city had the second highest ParkScore rating?	New York City	what city had the second highest ParkScore rating?	new york city	new york city had the second highest ParkScore rating
56cfe594234ae51400d9c02d	New_York_City	The 2013 ParkScore rating for NYC made NYC second in best park system to what other US city?	Minneapolis	the 2013 ParkScore rating for nyc made nyc second in best park system to what other us city?	Minneapolis	the 2013 ParkScore rating for new york city made new york city second in best park system to
56cf2fb5aab44d1400b88ddd	New_York_City	How large is the Gateway National recreation Area in hectares?	10,521.83	how large is the Gateway National recreation Area in hectares?	10,521.83	the Gateway National recreation Area is 10,521.83 hectares
56cf2fb5aab44d1400b88dde	New_York_City	About how large is the Jamaica Bay Wildlife Refuge in acres?	9,000	about how large is the Jamaica Bay Wildlife Refuge in acres?	9,000	the Jamaica Bay Wildlife Refuge is approximately 9,000 acres in size
56cf2fb5aab44d1400b88ddf	New_York_City	What fort is located on the Rockaway Peninsula?	Fort Tilden	what fort is located on the Rockaway Peninsula?	fort Tilden	fort Tilden is located on the Rockaway Peninsula
56cf2fb5aab44d1400b88de0	New_York_City	What park is located on the Rockaway Peninsula?	Jacob Riis Park	what park is located on the Rockaway Peninsula?	jacob riis park	jacob riis park is located on the Rockaway Peninsula
56cf2fb5aab44d1400b88de1	New_York_City	What body of water is Jamaica Bay Wildlife Refuge adjacent to?	Jamaica Bay	what body of water is Jamaica Bay Wildlife Refuge adjacent to?	Jamaica Bay	the Jamaica Bay Wildlife Refuge is adjacent to Jamaica Bay
56cfe608234ae51400d9c02f	New_York_City	How many acres of land does Gateway Nation Recreation contain?	over 26,000	how many acres of land does Gateway Nation Recreation contain?	over 26,000	gateway nation recreation contains over 26,000 acres of land
56cf306baab44d1400b88de7	New_York_City	What body administers the Ellis Island Immigration Museum?	National Park Service	what body administers the Ellis Island Immigration Museum?	national park service	the national park service administers the Ellis Island Immigration Museum
56cf306baab44d1400b88de8	New_York_City	What is the common name for the General Grant National Memorial?	Grant's Tomb	What is the common name for the General Grant National Memorial?	grant’s Tomb	the general grant national memorial is commonly referred to as grant’s Tomb
56cf306baab44d1400b88de9	New_York_City	In what neighborhood is the Stonewall Inn located?	Greenwich Village	in what neighborhood is the stonewall inn located?	greenwich Village	the stonewall inn is located in Greenwich Village
56cf306baab44d1400b88dea	New_York_City	What movement is the Stonewall Inn most famously associated with?	gay rights movement	what movement is the stonewall inn most famously associated with?	gay rights movement	the stonewall inn is most famously associated with the gay rights movement
56cfe6d2234ae51400d9c045	New_York_City	The Statue of Liberty is taken care of by what organization?	National Park Service	the Statue of Liberty is taken care of by what organization?	National Park Service	the Statue of Liberty is taken care of by the National Park Service
56cfe6d2234ae51400d9c046	New_York_City	The Statue of Liberty is also in what other US state?	New Jersey	the Statue of Liberty is also in what other US state?	new Jersey	the Statue of Liberty is also in the state of new Jersey
56cfe6d2234ae51400d9c047	New_York_City	Ellis Island is considered in New York state and which other?	New Jersey	ellis island is considered in new york state and which other?	new jersey	ellis island is considered in new york state and new jersey
56cfe6d2234ae51400d9c048	New_York_City	Which landmark is considered the spark for LGBT rights?	Stonewall Inn	which landmark is considered the spark for LGBT rights?	the stonewall inn	the stonewall inn is considered the spark for LGBT rights
56cfe6d2234ae51400d9c049	New_York_City	The landmark, General Grant National Memorial, is also called what?	Grant's Tomb	the landmark, general grant national memorial, is also called what?	grant’s tomb	the landmark, general grant national memorial, is also called grant’s tomb
56cf30beaab44d1400b88df9	New_York_City	How many state parks exist in New York City?	seven	how many state parks exist in New York City?	seven	there are seven state park -s in New York City
56cf30beaab44d1400b88dfa	New_York_City	How large is Riverbank State Park in acres?	28	how large is Riverbank State Park in acres?	28	Riverbank State Park is 28 acres large
56cf30beaab44d1400b88dfb	New_York_City	How many meters is Riverbank State Park elevated above the Hudson River?	21	how many meters is Riverbank State Park elevated above the Hudson River?	21	Riverbank State Park is elevated 21 meters above the Hudson River
56cfe709234ae51400d9c04f	New_York_City	How many New York state parks are within New York City?	seven	how many New york state parks are within New york city?	seven	there are seven New york state park -s within New york city
56cfe709234ae51400d9c050	New_York_City	Riverbank State park's highest point is how high above the Hudson River?	69 feet	riverbank state park's highest point is how high above the Hudson River?	69 feet	riverbank state park's highest point is 69 feet above the Hudson River
56cf322eaab44d1400b88e09	New_York_City	New York has approximately how many acres of parks?	28,000	New York has approximately how many acres of parks?	28,000	new York has approximately 28,000 acres of parks
56cf322eaab44d1400b88e0a	New_York_City	How many miles of public beach are located in New York City?	14	how many miles of public beach are located in New York City?	14	there are 14 miles of public beach located in New York City
56cf322eaab44d1400b88e0b	New_York_City	What is the biggest public park in the city?	Pelham Bay Park	what is the biggest public park in the city?	pelham bay park	the biggest public park in the city is pelham bay park
56cf322eaab44d1400b88e0c	New_York_City	How large is Pelham Bay Park in hectares?	1,093	how large is Pelham Bay Park in hectares?	1,093	Pelham Bay Park is 1,093 hectares in size
56cfe77b234ae51400d9c053	New_York_City	New York City has how many acres of land dedicated to parks?	over 28,000	New York City has how many acres of land dedicated to parks?	over 28,000	New York City has over 28,000 acres of land dedicated to parks
56cfe77b234ae51400d9c054	New_York_City	How long are all the public beaches together in miles?	14	how long are all the public beaches together in miles?	14	all the public beach -es are 14 miles long
56cfe77b234ae51400d9c055	New_York_City	What is the largest park in New York City?	Pelham Bay Park	what is the largest park in New York City?	pelham bay park	pelham bay park is the largest park in New York City
56cfe77b234ae51400d9c056	New_York_City	How many acres of land does Pelham Bay park have?	2,700	how many acres of land does pelham bay park have?	2,700	pelham bay park has 2,700 acres of land
56cf3297aab44d1400b88e11	New_York_City	What is the name of the military base in New York City?	Fort Hamilton	what is the name of the military base in New York City?	fort hamilton	the military base in New York City is fort hamilton
56cf3297aab44d1400b88e12	New_York_City	In what year was Fort Hamilton founded?	1825	in what year was Fort Hamilton founded?	1825	Fort Hamilton was founded in 1825
56cf3297aab44d1400b88e13	New_York_City	In what borough is Fort Hamilton located?	Brooklyn	in what borough is Fort Hamilton located?	Brooklyn	Fort Hamilton is located in the borough of Brooklyn
56cf3297aab44d1400b88e14	New_York_City	What division is based at Fort Hamilton?	North Atlantic Division	what division is based at Fort Hamilton?	North Atlantic Division	the North Atlantic Division is based at Fort Hamilton
56cf3297aab44d1400b88e15	New_York_City	What brigade is headquartered at Fort Hamilton?	1179th Transportation Brigade	what brigade is headquartered at Fort Hamilton?	1179th Transportation Brigade	the 1179th Transportation Brigade is headquartered at Fort Hamilton
56cfe836234ae51400d9c063	New_York_City	The U.S. military has only one active location in NYC named what?	Fort Hamilton	the u.s. military has only one active location in nyc named what?	Fort Hamilton	the u.s. military has only one active location in new york city named Fort Hamilton
56cfe836234ae51400d9c064	New_York_City	When was Fort Hamilton built?	1825	When was Fort Hamilton built?	1825	fort Hamilton was built in 1825
56cfe836234ae51400d9c065	New_York_City	Which borough can Fort Hamilton be found?	Brooklyn	Which borough can Fort Hamilton be found?	brooklyn	fort hamilton can be found in the borough of brooklyn
56cfe836234ae51400d9c067	New_York_City	Fort Wadsworth and Fort Totten are located in which area of New York City?	Queens	fort wadsworth and fort totten are located in which area of new york city?	queens	fort wadsworth and fort totten are located in the area of queens
56cf331faab44d1400b88e1b	New_York_City	What was the population of New York City in 2014?	8,491,079	what was the population of New York City in 2014?	8,491,079	the population of New York City was 8,491,079 in 2014
56cf331faab44d1400b88e1c	New_York_City	What is the US city with the second largest population?	Los Angeles	what is the us city with the second largest population?	los angeles	the us city with the second largest population is los angeles
56cf331faab44d1400b88e1d	New_York_City	How many people moved to New York City between April 2010 and July 2014?	316,000	how many people moved to New York City between April 2010 and July 2014?	316,000	three hundred –sixteen thousand people moved to New York City between April 201
56cf331faab44d1400b88e1e	New_York_City	Approximately what percentage is New York City's population of the entire state's population?	40%	approximately what percentage is new york city's population of the entire state's population?	40%	new york city’s population represents 40% of the entire state’s population
56cf331faab44d1400b88e1f	New_York_City	About what percentage is New York City's population of the New York metropolitan area's population?	40%	about what percentage is New York City's population of the New York metropolitan area's population?	40%	new york city’s population is 40% of the new york metropolitan area’s population
56cfe890234ae51400d9c07d	New_York_City	What is the population of NYC as of 2014?	8,491,079	what is the population of nyc as of 2014?	8,491,079	the population of nyc was 8,491,079 as of 2014
56cfe890234ae51400d9c07e	New_York_City	The second largest city in the US is what?	Los Angeles	the second largest city in the us is what?	los angeles	the second largest city in the us is los angeles
56cfe890234ae51400d9c07f	New_York_City	What percentage of people that live in the state of New York live in New York City?	40	what percentage of people that live in the state of New York live in New York City?	40	40 percent of people that live in the state of New York live in New York City
56cf33c4aab44d1400b88e2f	New_York_City	How many people live in a square mile of New York City?	27,858	how many people live in a square mile of New York City?	27,858	twenty-seven thousand eight hundred –fifty-eight people live in a square mile of New York City
56cf33c4aab44d1400b88e30	New_York_City	What is the population density of Manhattan per square kilometer?	27,673	what is the population density of Manhattan per square kilometer?	27,673	the population density of Manhattan is 27,673 per square kilometer
56cf33c4aab44d1400b88e31	New_York_City	Some cities in what county have a higher population density than New York City?	Hudson County	some cities in what county have a higher population density than New York City?	Hudson County	some cities in Hudson County have a higher population density than New York City
56cf3442aab44d1400b88e35	New_York_City	What percentage of the city's population is Caucasian?	44%	what percentage of the city's population is caucasian?	44%	44% of the city’s population is caucasian
56cf3442aab44d1400b88e36	New_York_City	What percentage of the city's population is African-American?	25.5%	what percentage of the city's population is African-American?	25.5%	the city's population is 25.5% African-American
56cf3442aab44d1400b88e37	New_York_City	What ethnicity is growing the quickest in New York City?	Asians	what ethnicity is growing the quickest in New York City?	Asians	the Asian population is growing the quickest in New York City
56cf3442aab44d1400b88e38	New_York_City	What percentage of the population identifies as Hispanic?	28.6%	what percentage of the population identifies as Hispanic?	28.6%	the population identifies as Hispanic at 28.6%
56cf3442aab44d1400b88e39	New_York_City	By what percentage did the non-Hispanic white population decrease?	3	by what percentage did the non-Hispanic white population decrease?	3	the non-Hispanic white population decreased by 3 percent
56cfe931234ae51400d9c089	New_York_City	As of 2010, what percentage made up white people in NYC?	44	as of 2010, what percentage made up white people in nyc?	44	white people made up 44 percent in nyc as of 2010
56cfe931234ae51400d9c08a	New_York_City	Since what event did the first time black people decline in living in NYC?	the Civil War	since what event did the first time black people decline in living in nyc?	the Civil War	the first time black people declined in living in nyc occurred since the Civil War
56cfe931234ae51400d9c08b	New_York_City	Which race of people made it the highest growing ethnicity between 2000-2010 in NYC?	Asians	which race of people made it the highest growing ethnicity between 2000-2010 in nyc?	asians	the highest growing ethnicity in new york city between 2000-2010 was Asians
56cfe931234ae51400d9c08c	New_York_City	What percentage of Africans make up NYC?	25.5	what percentage of africans make up nyc?	25.5	25.5 percent of africans make up nyc
56cf34c5aab44d1400b88e49	New_York_City	How many immigrants arrived at Ellis Island from 1892 to 1924?	12 million	how many immigrants arrived at ellis island from 1892 to 1924?	12 million	twelve million immigrant -s arrived at ellis island from 1892 to 1924
56cf34c5aab44d1400b88e4a	New_York_City	'Melting pot' was first used to describe neighborhoods in what area of the city?	Lower East Side	'Melting pot' was first used to describe neighborhoods in what area of the city?	the Lower East Side	'Melting pot' was first used to describe neighborhoods in the Lower East Side
56cf34c5aab44d1400b88e4b	New_York_City	What ethnicity comprised the largest number of immigrants at the beginning of the twentieth century?	Germans	what ethnicity comprised the largest number of immigrants at the beginning of the twentieth century?	germans	the largest number of immigrants at the beginning of the twentieth century were Germans
